
Grayscale CUDA,Grayscale Opencv
0.113833,0.0047261,
Grayscale CUDA,Grayscale Opencv
0.122845,0.0037107,
Grayscale CUDA,Grayscale Opencv
0.118216,0.0038049,
Grayscale CUDA,Grayscale Opencv
0.118186,0.0005999,
Grayscale CUDA,Grayscale Opencv
0.11333,0.0006057,
Grayscale CUDA,Grayscale Opencv
0.121658,0.0004826,
Grayscale CUDA,Grayscale Opencv
0.112211,0.000502,
Grayscale CUDA,Grayscale Opencv
0.121992,0.000513,
Grayscale CUDA,Grayscale Opencv
0.116208,0.0004937,
Grayscale CUDA,Grayscale Opencv
0.137851,0.0024038,
Grayscale CUDA,Grayscale Opencv
0.125089,0.0004839,
Grayscale CUDA,Grayscale Opencv
0.118699,0.0004723,
Grayscale CUDA,Grayscale Opencv
0.259468,0.0009427,
Grayscale CUDA,Grayscale Opencv
4.2307,0.0005244,
Grayscale CUDA,Grayscale Opencv
7.20619,0.0006257,
Grayscale CUDA,Grayscale Opencv
6.59978,0.0007276,
Grayscale CUDA,Grayscale Opencv
5.95231,0.000514,
Grayscale CUDA,Grayscale Opencv
6.30707,0.0006097,
Grayscale CUDA,Grayscale Opencv
16.7713,0.0005507,
Grayscale CUDA,Grayscale Opencv
0.149337,0.0005527,
Grayscale CUDA,Grayscale Opencv
0.109829,0.0004446,
Grayscale CUDA,Grayscale Opencv
0.113621,0.0004779,
Grayscale CUDA,Grayscale Opencv
0.160584,0.0092397,
Grayscale CUDA,Grayscale Opencv
0.111844,0.0058676,
